Epoch,Train Loss,Val Loss,IoU Edge,IoU Corner,F1 Edge,F1 Corner
1,0.42041401919864474,0.8991783161958059,0.010505831356048085,0.0023452392910950862,0.0202886310771213,0.0046675620722540076
2,0.2553858458995819,0.23874680946270624,0.17011505707965366,0.0,0.27731042778829024,0.0
3,0.18237805508431934,0.18045728156963983,0.4263575687294915,0.00014256331737020185,0.5845773773533958,0.000284673890010232
4,0.13899446633600054,0.1317992607752482,0.5560561234042758,0.00017920617635051408,0.7048927800995963,0.0003578405455863547
5,0.1117046478958357,0.10608497510353725,0.5744325362500691,0.00023177874806736196,0.7222854424090612,0.00046263009287594327
6,0.09490052397762026,0.09360070774952571,0.633297996861594,0.0009705217255811606,0.7675967784154982,0.0019304172379807348
7,0.08262098828951518,0.07849392667412758,0.6759590279488337,0.004396799715496378,0.8027701917148772,0.008589811275236397
8,0.07453394539299465,0.06521386218567689,0.6545012422970363,0.020319280730161284,0.7856992653438023,0.037405974575362745
9,0.0706481784582138,0.06375716192026933,0.6607145141987574,0.00430084616389303,0.7892749423072452,0.008412775650088276
10,0.06616446056536265,0.08023369312286377,0.6692368913264501,0.031533852693558274,0.7986720658483959,0.057595797980736406
11,0.05983663314864749,0.05547962710261345,0.6917607159841628,0.007266727098751636,0.8137604423931667,0.01408291965102156
12,0.06181722045654342,0.0850016288459301,0.6483423057056609,0.004785656624118842,0.7832825212251573,0.009383769766871063
13,0.0591469288227104,0.05530789867043495,0.6657992147264027,0.05966019408688659,0.7939313792047047,0.10351544263817015
14,0.05541859176896867,0.051095609863599144,0.6723944431259519,0.041545605331304525,0.7995000935736156,0.07451566628047399
15,0.053825064606609796,0.05080033093690872,0.7000616036710285,0.05574971030554956,0.8188459390685672,0.09824355911197406
16,0.05258815646881149,0.05027770188947519,0.7060156194936662,0.07898084182913105,0.823452197370075,0.13550431032975516
17,0.05215743077652795,0.05174658757944902,0.710142623810541,0.15434455224091098,0.8274909257888794,0.24606561341456004
18,0.050641445709126334,0.048567840829491615,0.7155657410621643,0.21620849708449982,0.8307177793411982,0.33030221868483794
19,0.048648418415160405,0.04850827716290951,0.726600448290507,0.21475741613678456,0.8387844959894816,0.32161948101461996
20,0.04620685446120444,0.04543419865270456,0.7099888353120714,0.16193923669024593,0.8255059605553037,0.2554910487184922
21,0.04696625941211269,0.04503398947417736,0.7243582833380926,0.17130917018013342,0.8370969181969052,0.268595840072348
22,0.046354240959598905,0.044035439689954124,0.7270193639255705,0.19397892696516855,0.8386969367663065,0.2948568200781232
23,0.04422379604407719,0.04279598159094652,0.7302041025388808,0.25979926057958175,0.8407017446699596,0.37296663333351415
24,0.04397125613121759,0.04158810433000326,0.7360815377462477,0.3030355888463202,0.8446686154320127,0.42230435159234775
25,0.042529380037671045,0.041366067714989185,0.7369051376978556,0.24903673907032325,0.8453131488391331,0.3621074240654707
26,0.04412538283282802,0.043841938177744545,0.723772250470661,0.18935603646206714,0.8364597331909907,0.2911383238665405
27,0.043386575898953846,0.04296271875500679,0.7313754473413739,0.13578488411647932,0.841864253793444,0.2195709091389463
28,0.042956861800381115,0.043126474445064865,0.7273971140384674,0.12080749844954837,0.8383241778328305,0.19647114338087185
29,0.0437926250909056,0.04018154398848613,0.7353020594233558,0.22003026519502913,0.8445719537280855,0.3252018682569975
30,0.04082720806556089,0.03963244892656803,0.7320090333620707,0.28075607994105667,0.8413444984526861,0.3937221282782654
31,0.03965831902765092,0.03827926733841499,0.7485303084055582,0.3142240234606323,0.8532947216715131,0.43063052672715413
32,0.040631371860702835,0.03851081058382988,0.7481151478631156,0.31013590647351175,0.8530299918992179,0.4249271449765989
33,0.03958501799830368,0.03825799562036991,0.7460119667507353,0.30998379311391283,0.8514256023225331,0.4259931516079676
34,0.03846713767520019,0.037343909963965416,0.7478724547794887,0.31899837049699964,0.8529878854751587,0.43497524694317863
35,0.038672994290079386,0.037377500596145787,0.7508837041400728,0.3192827320169835,0.8547851301374889,0.43515059334181605
