Epoch,Train Loss,Val Loss,IoU Edge,IoU Corner,F1 Edge,F1 Corner
1,0.6574129944755918,7.073632836341858,0.07892777007960138,0.00904032283731448,0.14537582191682996,0.017422897730111367
2,0.4525031333877927,0.35180747012297314,0.019034995553305463,0.002365392194839106,0.037054380490666346,0.004710576682728494
3,0.3797588178089687,0.3623755027850469,0.0,0.0,0.0,0.0
4,0.32758939266204834,0.29938190678755444,0.0,0.0012378791607694612,0.0,0.002468937885991874
5,0.2818263187294915,0.27128557364145917,0.0,2.9430807834225042e-05,0.0,5.881395745312884e-05
6,0.24345918567407698,0.23306288570165634,0.0,0.0,0.0,0.0
7,0.206696982894625,0.1998631457487742,0.0,0.0,0.0,0.0
8,0.16823205706619082,0.15099333971738815,0.0,0.0,0.0,0.0
9,0.138286102385748,0.11790534729758899,0.0,0.0,0.0,0.0
10,0.11298681972991853,0.1090926540394624,0.0,0.0,0.0,0.0
11,0.09824654566390174,0.1080564446747303,0.0,0.0,0.0,0.0
12,0.09219350523891903,0.10274739811817805,0.0,0.0,0.0,0.0
13,0.08739631445634932,0.09747262795766194,0.0,0.0,0.0,0.0
14,0.08258328054632459,0.0933260867993037,0.0,0.0,0.0,0.0
15,0.07837427992905889,0.08690834666291873,0.0,0.0,0.0,0.0
16,0.07390929315061796,0.08041977634032567,0.0,0.0,0.0,0.0
17,0.07276773133448192,0.08990708366036415,0.0,0.0,0.0,0.0
18,0.06890560491454034,0.07622831625243028,0.0,0.0,0.0,0.0
19,0.06500282688509851,0.07264881891508897,3.4924128807948103e-06,0.0,6.984306743279809e-06,0.0
20,0.06316452668536277,0.06975174198548,6.74887269269675e-06,0.0,1.3496732987862612e-05,0.0
21,0.06100511887953395,0.06708652339875698,3.3748678799297306e-06,0.0,6.749472785962834e-06,0.0
22,0.05905012591254143,0.0661409329622984,8.491018836918687e-05,0.0,0.00016971186934305088,0.0
23,0.05853838331642605,0.0678798488030831,1.2668365213487829e-05,0.0,2.5331829203337076e-05,0.0
24,0.05711240569750468,0.06290807326634724,0.00035090659193450673,3.577046923705244e-05,0.0007000230723947641,7.149899777557169e-05
25,0.05568156284945352,0.06153141458829244,7.947867041886119e-05,0.00106903197870235,0.00015887109821917313,0.002123570798652335
26,0.05589089028182484,0.07039117813110352,0.0004182890656271151,0.004179490791145889,0.0008339009710609735,0.008174619171768427
27,0.055230602267242614,0.06063449444870154,0.00036831098623224534,8.553595814321722e-05,0.000733869103160465,0.0001709071220830083
28,0.05288414391023772,0.05853991707166036,0.00022149260716798294,0.0036148102787722436,0.00044239436881200945,0.007101585949948501
29,0.05259270912834576,0.06381809401015441,0.0005982294307960686,0.037646912481813205,0.0011922829362447374,0.0693356270591418
30,0.053286392064321605,0.06203337882955869,0.00016160618594897511,0.0028680299430908192,0.00032277511941391,0.005666029340188418
31,0.05125794293625014,0.056683906043569245,0.0003046896724429514,0.0025327602939103685,0.0006087880527567384,0.005002672102169267
32,0.050026529956431615,0.05706155734757582,0.0009638997299979175,0.014475347241386771,0.0019199110015289903,0.02768989177864222
33,0.05024858865709532,0.05659269727766514,0.0012574434998289992,0.00813813311868303,0.0025058403691565175,0.015816182496824434
34,0.04961186558717773,0.055697400122880936,0.001703827853080362,0.01953834848522785,0.003378250689517396,0.036797194475574155
35,0.0493828205480462,0.054669112587968506,0.0019619018348748796,0.02104678215636384,0.0038793069654188697,0.03923640280429806
