Epoch,Train Loss,Val Loss,IoU Edge,IoU Corner,F1 Edge,F1 Corner
1,0.689349441301255,0.665317177772522,0.0065166711030455885,0.008562895422939965,0.012801503410585047,0.01682032676347132
2,0.5678014783632188,0.5367723902066549,0.1345878690481186,0.015611507985297413,0.23288564437202044,0.030513575034482137
3,0.5185561350413731,0.5312771499156952,0.2993869387677738,0.04176532259831826,0.4498061537742615,0.07608362291717813
4,0.48993932207425434,0.4853588988383611,0.3481226258334659,0.008226241025286504,0.5026073583534786,0.015904381497031345
5,0.46738115946451825,0.4796336044867833,0.38651573232242037,0.013766069519555285,0.5446587460381644,0.026593436187665378
6,0.45078652387573603,0.48202788333098096,0.3883588228906904,0.05739229125902057,0.5444859968764442,0.10368221536988304
7,0.4349807146049681,0.4286373456319173,0.4273076334169933,0.010159202418955309,0.5866283235095796,0.01954892608115361
8,0.41912495096524555,0.4083097279071808,0.4609555864617938,0.012816542559968573,0.6217599213123322,0.024778029742828084
9,0.4024785714490073,0.3987715542316437,0.4714054749125526,0.010486846512538336,0.6309621475991749,0.02015952597693762
10,0.38767043465659734,0.3881011853615443,0.4930535207192103,0.011715618777088821,0.6516528399217696,0.022468978134427397
11,0.3779897860118321,0.39105910062789917,0.4984600359485263,0.01768847112543881,0.6554187351749057,0.03399802504905632
12,0.37281468368711923,0.37458761036396027,0.5278121417477017,0.012218377048460146,0.6856001984505427,0.02318395129848449
13,0.3677309098697844,0.3640015075604121,0.5180387809163048,0.024787736812695152,0.6754755278428396,0.04705799489636861
14,0.35955009432066054,0.3673065702120463,0.5142237827891395,0.030084854773511843,0.6708893988813672,0.055921196970822554
15,0.3546985813549587,0.34754016002019245,0.5332125851086208,0.00803717840088731,0.6883440301531837,0.015284611359848418
16,0.34718465379306246,0.34955520431200665,0.553163944255738,0.012130937489148761,0.7071218604133243,0.02306732801454408
17,0.3417787608646211,0.3462342917919159,0.5634510148139227,0.013285029108547383,0.716771872270675,0.0253877584445512
18,0.3370886061872755,0.3374308943748474,0.5524687000683376,0.010282342117058025,0.7050854506946745,0.019784922356761638
19,0.32919412425586153,0.32796203593413037,0.5624522964159647,0.012355413919846927,0.7139149393354144,0.02352412421965883
20,0.323211730945678,0.32213028271993,0.5799779466220311,0.0026065683916732226,0.7295703206743512,0.005152724694371933
21,0.31986208189101445,0.3192180395126343,0.5856827412332807,0.010302445003097611,0.734135457447597,0.019513609331278575
22,0.3179320636249724,0.31445105870564777,0.5748103871231988,0.010166126198046618,0.7253371704192388,0.0193086747035739
23,0.3161871717089698,0.3132335692644119,0.5753153335480463,0.008617722906083577,0.7254541374388195,0.01653120964987292
24,0.31118942442394437,0.3106943666934967,0.5782050220739274,0.01052554800463397,0.727774997552236,0.02006433799951559
25,0.30967758950733004,0.3070128560066223,0.5857544768424261,0.009936671357579707,0.7338423558643886,0.018955875725840173
26,0.30820703364553903,0.3032430609067281,0.579951408363524,0.010356061155020836,0.727904859043303,0.019676905153097494
27,0.3045839809236072,0.3011567344268163,0.59959657845043,0.008832505244451264,0.7454943458239237,0.016887798073834608
28,0.30309439982686726,0.304097185532252,0.594000769512994,0.021502284100279212,0.7408083393460229,0.04096913919784129
29,0.3008329839933486,0.299394890666008,0.6028644556090945,0.009046148686181931,0.7483061324982416,0.0171411745693712
30,0.2972319012596494,0.29575921098391217,0.5989530824479603,0.007323653986012297,0.7449425033160618,0.013989382905752532
31,0.29450267411413644,0.29469795525074005,0.6105431772413707,0.010766097632724615,0.7544476276352292,0.020342124420927747
32,0.2934126328854334,0.2918381442626317,0.602641795362745,0.010632633963333709,0.7475399573644003,0.020104343071579933
33,0.2924601307937077,0.29052744805812836,0.6025165759381794,0.010758973148074887,0.7477319637934366,0.020415194354773986
34,0.2915007642337254,0.28981946905454,0.5987978137674785,0.009622722111609099,0.7445656742368426,0.01823321976588063
35,0.2900763551394145,0.28804782032966614,0.6057790006910052,0.009760973085316696,0.7504963590985253,0.01852103982431193
