Epoch,Train Loss,Val Loss,IoU Edge,IoU Corner,F1 Edge,F1 Corner
1,0.23429481968993232,0.5342522139350573,0.0,0.0,0.0,0.0
2,0.12398158687920798,0.3387933522462845,0.00014625757605591345,0.0,0.0002924186673702761,0.0
3,0.1138626163204511,0.20723866919676462,0.0004992090228673381,0.0,0.0009954463332957988,0.0
4,0.1056889465876988,0.20441811035076776,0.22075827300016368,0.0,0.3372171163292868,0.0
5,0.09187525936535426,0.20033063491185507,0.3637437768990085,0.0,0.5043469791611036,0.0
6,0.07844273462182,0.16057619700829187,0.367871717328117,0.0,0.5142630100959823,0.0
7,0.07789753146824382,0.15001888324817023,0.41384815247285933,0.0,0.5763203104337057,0.0
8,0.06920106159079642,0.09536384170254071,0.42220204997630345,0.0,0.5886668761571249,0.0
9,0.06826876600583394,0.07342934794723988,0.4994039109774998,0.0,0.654418238571712,0.0
10,0.05845131831509726,0.061938472713033356,0.5889897829010373,0.0,0.7340150645800999,0.0
11,0.05533852304021517,0.0591034721583128,0.6115931031249818,0.0,0.752223877679734,0.0
12,0.05421866689409528,0.06428301023940246,0.57696885012445,0.0,0.722248565583002,0.0
13,0.05487984152776854,0.08612869928280513,0.5816754869052342,0.0,0.730961317107791,0.0
14,0.05158989903117929,0.10659955317775409,0.5473878369444892,0.0,0.7050500568889436,0.0
15,0.05018600927931922,0.0826566331088543,0.5193851327612287,0.0,0.6756460283483777,0.0
16,0.05018796470193636,0.15082336341341337,0.42566911095664617,0.0,0.5805647806042716,0.0
17,0.05013071018315497,0.052618917698661484,0.661767201764243,0.0,0.7915118648892358,0.0
18,0.047043632183756144,0.056873904541134834,0.6121493592148736,0.0,0.753988436290196,0.0
19,0.04564797913744336,0.11758412917455037,0.5842176874478658,0.0,0.7359070579210917,0.0
20,0.0452166029385158,0.047655769934256874,0.6985400971912202,0.0,0.8190645575523376,0.0
21,0.043474845676904635,0.045782060362398624,0.6814953031994048,0.0,0.806742060752142,0.0
22,0.042363078555180914,0.044928996513287224,0.691893804640997,0.0,0.8142391244570414,0.0
23,0.0443306624711979,0.06450053863227367,0.5992947149844396,0.0,0.7442895883605594,0.0
24,0.043361459903064226,0.04727250089248022,0.6664310225418636,0.00017198200086048537,0.7950447230111986,0.00034345368996062983
25,0.04102139352332978,0.050713583206137024,0.6389196756340209,0.000795768687523724,0.7759278473399934,0.0015857268645915958
26,0.04041461744123981,0.04267985404779514,0.7135963525090899,0.0014399038516871986,0.8295068769227891,0.0028649729765242056
27,0.042296089320665316,0.04311650122205416,0.6994475225607554,0.0032445977696971525,0.8189125628698439,0.006437809605683599
28,0.03865059527258078,0.04177453648298979,0.7133875886599222,0.013430622339780842,0.8294801910718282,0.026185559596688973
29,0.03896428192300456,0.04082387872040272,0.7222235004107157,0.033446473557324635,0.8351980703217643,0.063518711853595
30,0.038746075527299015,0.04206222482025623,0.7170037570453826,0.07150994255096607,0.8320567465963817,0.1293491655960679
31,0.03797770371394498,0.04500046372413635,0.715016538188571,0.0657216536346823,0.8312215379306248,0.1195455236759569
32,0.0379116524543081,0.039731666135291256,0.7231974147614979,0.062161605716461225,0.8356533249219259,0.11287906765937805
33,0.037298918036477904,0.04009742196649313,0.7270086180596125,0.06384982062237603,0.8391568603969756,0.11569386720657349
34,0.03748496879069578,0.040159658528864384,0.7322465380032858,0.12078918733944495,0.8423047292800176,0.20584957780582563
35,0.03794835782831624,0.04022728465497494,0.7172901261420477,0.0967451742340234,0.8322443110602242,0.1682175949792422
